Team,Result,Location,Week,Pass Yds,Opp Pass Yds,Rush Yds,Opp Rush Yds,Points per game,Opp Points per game,Sacks,Opp Sacks,Cmp,Opp Cmp,Plays,Opp Plays,3DConv,3DConv Allowed,Yards per Play,Opp Yards per Play,Temperature,Weather,Team2
crd,L,,1.0,179.0,360.0,103.0,128.0,21.0,21.0,3.0,0.0,63.2,76.9,63.0,66.0,0.25,0.625,4.48,7.39,97 °F,Clear,kan
crd,W,@,2.0,224.5,302.0,123.0,104.0,25.0,25.0,2.0,0.5,63.25,70.5,70.5,63.5,0.2403846153846154,0.5852272727272727,4.885,6.35,90 °F,Clear,rai
crd,L,,3.0,248.0,281.0,105.33333333333331,102.66666666666669,20.666666666666668,20.666666666666668,2.0,0.6666666666666666,63.43333333333334,71.0,74.0,57.666666666666664,0.2713675213675213,0.5151515151515151,4.76,6.69,102 °F,Clear,ram
crd,W,@,4.0,237.5,255.75,112.0,87.0,22.0,22.0,1.75,1.0,65.55000000000001,68.525,73.0,56.0,0.303525641025641,0.4363636363636363,4.7775,6.095,64 °F,Overcast,car
crd,L,,5.0,237.8,248.2,114.4,97.4,21.0,21.0,1.6,1.2,65.78,69.26,72.2,59.0,0.3571062271062271,0.4413986013986014,4.874,5.882,87 °F,Clear,phi
crd,L,@,6.0,226.66666666666663,233.5,119.33333333333331,103.83333333333331,19.0,19.0,2.3333333333333335,1.8333333333333333,65.18333333333334,68.46666666666667,72.0,60.166666666666664,0.3392551892551892,0.4154512154512154,4.801666666666667,5.648333333333333,77 °F,Clear,sea
crd,W,,7.0,221.28571428571428,258.57142857142856,121.85714285714286,101.14285714285714,22.285714285714285,22.285714285714285,2.2857142857142856,1.5714285714285714,65.72857142857143,68.01428571428572,70.28571428571429,61.714285714285715,0.3336473050758765,0.4220351077493934,4.891428571428571,5.835714285714286,88 °F,Clear,nor
crd,L,@,8.0,230.75,252.25,116.375,110.125,22.75,22.75,2.5,1.75,66.325,67.85000000000001,70.25,62.5,0.3373959373959374,0.4269730269730269,4.949999999999999,5.80625,55 °F,Clear,min
crd,L,,9.0,220.66666666666663,253.44444444444449,117.0,115.44444444444444,22.555555555555557,22.555555555555557,2.7777777777777777,1.7777777777777777,66.88888888888889,68.81111111111112,69.22222222222223,63.333333333333336,0.3475265475265475,0.4536056536056536,4.877777777777776,5.828888888888889,76 °F,Clear,sea
crd,W,@,10.0,220.6,247.1,113.1,110.5,23.0,23.0,2.7,1.9,67.22999999999999,68.69000000000001,68.8,63.0,0.3461072261072261,0.4355178155178155,4.847999999999999,5.673,69 °F,Clear,ram
